_id,IdentificationNumber,Department,Status,DateReported,Date Closed,Category1,Category2,Category3,Category4
595,2020-0110,Milwaukee Police Department,Closed,6/1/2020,6/4/2021,Department Procedures,Discourtesy,Disparate Treatment,
596,2020-0111,Milwaukee Police Department,Closed,6/2/2020,6/2/2020,Department Procedures,,,
597,2020-0112,Milwaukee Police Department,Closed,6/3/2020,6/3/2020,None,,,
598,2020-0113,Milwaukee Police Department,Closed,6/3/2020,6/3/2020,Department Procedures,,,
599,2020-0114,Milwaukee Police Department,Closed,6/4/2020,6/4/2020,Department Procedures,,,
600,2020-0115,Milwaukee Police Department,Closed,6/3/2020,6/3/2020,Department Procedures,,,
601,2020-0116,Milwaukee Police Department,Closed,6/4/2020,6/4/2020,Department Procedures,,,
602,2020-0117,Milwaukee Police Department,Closed,6/4/2020,6/4/2020,Department Procedures,,,
603,2020-0118,Milwaukee Police Department,Closed,6/4/2020,6/4/2020,Department Procedures,,,
604,2020-0119,Milwaukee Police Department,Closed,6/5/2020,NO DATE,Department Procedures,,,
605,2020-0120,Milwaukee Police Department,Closed,6/5/2020,6/5/2020,Department Procedures,,,
606,2020-0121,Milwaukee Police Department,Closed,6/5/2020,6/5/2020,Department Procedures,,,
607,2020-0122,Milwaukee Police Department,Closed,6/5/2020,6/5/2020,Department Procedures,Unjustified Search,,
608,2020-0123,Non-Employee,Closed,6/5/2020,6/5/2020,None,,,
609,2020-0124,Milwaukee Police Department,Closed,6/5/2020,6/5/2020,Use of Force,,,
610,2020-0125,Milwaukee Police Department,Closed,6/5/2020,8/28/2020,Use of Force,,,
611,2020-0126,Milwaukee Police Department,Closed,6/8/2020,5/19/2022,Use of Force,,,
612,2020-0127,Milwaukee Police Department,Closed,6/8/2020,6/8/2020,Department Procedures,,,
613,2020-0128,Milwaukee Police Department,Closed,6/8/2020,6/8/2020,Department Procedures,,,
614,2020-0129,Milwaukee Police Department,Closed,6/8/2020,NO DATE,Use of Force,,,
615,2020-0130,Milwaukee Police Department,Closed,6/8/2020,6/24/2020,Department Procedures,,,
616,2020-0131,Milwaukee Police Department,Closed,6/11/2020,7/14/2020,Department Procedures,,,
617,2020-0132,Milwaukee Police Department,Closed,6/15/2020,6/24/2020,Department Procedures,,,
618,2020-0133,Milwaukee Police Department,Closed,6/16/2020,8/10/2020,Department Procedures,,,
619,2020-0134,Milwaukee Police Department,Closed,6/17/2020,8/21/2020,Department Procedures,,,
620,2020-0135,Non-Employee,Closed,4/6/2020,4/8/2020,None,,,
621,2020-0136,Milwaukee Police Department,Closed,4/7/2020,10/20/2020,"Respect, 5.01",,,
622,2020-0137,Milwaukee Police Department,Closed,4/8/2020,5/22/2020,"Integrity, 3.00",,,
623,2020-0138,Milwaukee Police Department,Closed,4/8/2020,8/31/2020,"Integrity, 3.10",,,
624,2020-0139,Milwaukee Police Department,Closed,4/14/2020,6/2/2020,"Integrity, 3.00",,,
625,2020-0140,Milwaukee Police Department,Closed,4/15/2020,5/7/2020,"Competence, 1.04",,,
626,2020-0141,Milwaukee Police Department,Closed,4/20/2020,10/11/2021,"Integrity, 3.05",,,
627,2020-0142,Milwaukee Police Department,Closed,4/20/2020,7/16/2020,"Integrity, 3.00",,,
628,2020-0143,Milwaukee Police Department,Closed,4/23/2020,5/7/2020,"Integrity, 3.00",,,
629,2020-0144,Milwaukee Police Department,Closed,4/27/2020,1/27/2021,"Integrity, 3.05",,,
630,2020-0145,Milwaukee Police Department,Closed,4/30/2020,7/23/2020,"Integrity, 3.05",,,
631,2020-0146,Milwaukee Police Department,Closed,4/30/2020,8/17/2020,"Respect, 5.01",,,
632,2020-0147,Milwaukee Police Department,Closed,5/1/2020,3/3/2021,"Integrity, 3.00",,,
633,2020-0148,Milwaukee Police Department,Closed,5/5/2020,10/17/2020,"Restraint, 6.01",,,
634,2020-0149,Milwaukee Police Department,Closed,5/7/2020,3/8/2021,"Respect, 5.01",,,
635,2020-0150,Milwaukee Police Department,Closed,5/8/2020,6/2/2020,"Integrity, 3.00",,,
636,2020-0151,Milwaukee Police Department,Closed,5/8/2020,5/18/2020,"Respect, 5.00",,,
637,2020-0152,Milwaukee Police Department,Closed,5/8/2020,5/29/2020,"Competence, 1.05",,,
638,2020-0153,Milwaukee Police Department,Closed,5/9/2020,1/28/2021,"Restraint, 6.01",,,
639,2020-0154,Milwaukee Police Department,Closed,5/11/2020,10/23/2020,"Integrity, 3.00",,,
640,2020-0155,Milwaukee Police Department,Closed,5/11/2020,5/22/2020,"Competence, 1.05",,,
641,2020-0156,Milwaukee Police Department,Closed,5/14/2020,7/22/2020,"Restraint, 6.01",,,
642,2020-0157,Milwaukee Police Department,Closed,5/19/2020,7/22/2020,"Integrity, 3.05",,,
643,2020-0158,Milwaukee Police Department,Closed,5/23/2020,7/30/2020,"Competence, 1.04",,,
644,2020-0159,Milwaukee Police Department,Closed,5/23/2020,2/25/2021,"Respect, 5.01",,,
645,2020-0160,Milwaukee Police Department,Closed,5/27/2020,7/16/2020,"Integrity, 3.03",,,
646,2020-0161,Milwaukee Police Department,Closed,5/26/2020,8/31/2020,"Competence, 1.04",,,
647,2020-0162,Milwaukee Police Department,Closed,6/4/2020,10/19/2020,"Restraint, 6.00",,,
648,2020-0163,Milwaukee Police Department,Closed,5/29/2020,7/30/2020,"Competence, 1.04","Integrity, 3.01",,
649,2020-0164,Milwaukee Police Department,Closed,6/1/2020,12/1/2020,"Integrity, 3.00",,,
650,2020-0165,Milwaukee Police Department,Closed,6/1/2020,8/6/2020,"Competence, 1.04","Integrity, 3.01",,
651,2020-0166,Milwaukee Police Department,Closed,6/2/2020,8/11/2020,"Respect, 5.01",,,
652,2020-0167,Milwaukee Police Department,Closed,6/4/2020,3/7/2022,"Restraint, 6.01 - Excessive use of force - Bodily","Competence, 1.05 - SOP Use of Force",,
653,2020-0168,Milwaukee Police Department,Closed,6/4/2020,6/17/2020,"Integrity, 3.00",,,
654,2020-0169,Milwaukee Police Department,Closed,6/9/2020,10/23/2020,"Restraint, 6.00",,,
655,2020-0170,Milwaukee Police Department,Closed,6/8/2020,1/20/2021,"Restraint, 6.01",,,
656,2020-0171,Milwaukee Police Department,Closed,6/9/2020,9/14/2020,"Competence, 1.04",,,
657,2020-0172,Milwaukee Police Department,Closed,6/11/2020,8/6/2020,"Competence, 1.00",,,
658,2020-0173,Milwaukee Police Department,Closed,6/16/2020,3/9/2022,"Integrity, 3.00",,,
659,2020-0174,Milwaukee Police Department,Closed,6/17/2020,8/31/2020,"Competence, 1.04",,,
660,2020-0175,Milwaukee Police Department,Closed,6/17/2020,11/16/2020,"Competence, 1.04",,,
661,2020-0176,Milwaukee Police Department,Closed,6/17/2020,10/17/2020,"Integrity, 3.03","Respect, 5.02",Race Based Traffic Stop,
662,2020-0177,Milwaukee Police Department,Closed,6/20/2020,7/22/2020,"Integrity, 3.03",,,
663,2020-0178,Milwaukee Police Department,Closed,6/22/2020,1/28/2021,"Competence, 1.03",,,
664,2020-0179,Milwaukee Police Department,Closed,6/26/2020,NO DATE,Department Procedures,,,
665,2020-0180,Milwaukee Police Department,Closed,6/26/2020,7/15/2020,Discourtesy,,,
666,2020-0181,Milwaukee Police Department,Closed,6/30/2020,7/15/2020,Discourtesy,,,
667,2020-0182,Milwaukee Police Department,Closed,6/30/2020,4/13/2021,Discourtesy ,,,
668,2020-0183,Milwaukee Fire Department,Closed,6/30/2020,6/30/2020,Discourtesy,,,
2020 - Q3,,,,,,,,,
669,2020-0184,Milwaukee Fire Department ,Closed,7/2/2020,7/2/2020,Discourtesy ,,,
670,2020-0185,Milwaukee Police Department,Closed,7/2/2020,7/2/2020,Discourtesy ,,,
671,2020-0186,Milwaukee Police Department,Closed,7/6/2020,2/24/2021,Department Procedures,Unjustified Traffic Stop,,
672,2020-0187,Non-Employee,Closed,7/7/2020,7/7/2020,No Allegation,,,
673,2020-0188,Non-Employee,Closed,7/8/2020,7/8/2020,No Allegation,,,
674,2020-0189,Milwaukee Police Department,Closed,7/9/2020,7/9/2020,Department Procedures,,,
675,2020-0190,Milwaukee Police Department,Closed,7/10/2020,11/5/2020,Department Procedures,,,
676,2020-0191,Milwaukee Police Department,Closed,7/13/2020,11/5/2020,Discourtesy,,,
677,2020-0192,Milwaukee Police Department,Closed,7/14/2020,10/1/2021,Department Procedures,,,
678,2020-0193,Milwaukee Police Department,Closed,7/14/2020,7/14/2020,Department Procedures,,,
679,2020-0194,Milwaukee Police Department,Closed,7/15/2020,8/11/2020,Department Services,,,
680,2020-0195,Milwaukee Police Department,Closed,7/20/2020,8/13/2020,Department Procedures,,,
681,2020-0196,Milwaukee Police Department,Closed,7/20/2020,10/1/2020,Department Procedures,,,
682,2020-0197,Milwaukee Police Department,Closed,7/28/2020,10/1/2020,Department Procedures,,,
683,2020-0198,Milwaukee Police Department,Closed,7/28/2020,10/1/2020,Department Procedures,,,
684,2020-0199,Milwaukee Police Department,Closed,8/5/2020,8/5/2020,Discourtesy ,,,
685,2020-0200,Milwaukee Police Department,Closed,8/20/2020,NO DATE,Use of Force,,,
686,2020-0201,Milwaukee Police Department,Closed,8/20/2020,9/2/2020,Department Procedures,,,
687,2020-0202,Non-Employee,Closed,8/25/2020,8/25/2020,No Allegation,,,
688,2020-0203,Non-Employee,Closed,8/25/2020,8/25/2020,No Allegation,,,
689,2020-0204,Milwaukee Police Department,Closed,8/24/2020,10/30/2020,Department Procedures,,,
690,2020-0205,Milwaukee Police Department,Closed,9/2/2020,9/15/2020,Unjustified Search,,,
691,2020-0206,Milwaukee Police Department,Closed,8/28/2020,10/12/2020,Department Services ,,,
692,2020-0207,Milwaukee Police Department,Closed,9/18/2020,11/4/2020,Disparate Treatment ,Race/Ethnicity Based No Action Encounter ,,
693,2020-0208,Milwaukee Police Department,Closed,8/5/2020,8/5/2020,No Allegation,,,
694,2020-0209,Milwaukee Police Department,Closed,9/22/2020,10/12/2020,Department Services ,,,
695,2020-0210,Milwaukee Police Department,Closed,9/28/2020,11/6/2020,Department Procedures,,,
696,2020-0211,Milwaukee Fire Department,Closed,9/29/2020,9/29/2020,Department Procedures,,,
697,2020-0212,Milwaukee Police Department,Closed,7/1/2020,8/20/2020,"Respect, 5.02","Competence, 1.05","Competence, 1.04","Integrity, 3.11"
698,2020-0213,Milwaukee Police Department,Closed,7/6/2020,12/21/2020,"Respect, 5.01",,,
699,2020-0214,Milwaukee Police Department,Closed,7/6/2020,1/15/2021,"Integrity, 3.05",,,
700,2020-0215,Milwaukee Police Department,Closed,7/6/2020,1/26/2021,"Competence, 1.04",,,
701,2020-0216,Milwaukee Police Department,Closed,7/7/2020,8/31/2020,"Respect, 5.00",,,
702,2020-0217,Milwaukee Police Department,Closed,7/2/2020,9/14/2020,"Competence, 1.04",,,
703,2020-0218,Milwaukee Police Department,Closed,7/8/2020,2/26/2021,"Competence, 1.04",,,
704,2020-0219,Milwaukee Police Department,Closed,7/16/2020,9/17/2020,"Integrity, 3.11",,,
705,2020-0220,Milwaukee Police Department,Closed,7/16/2020,3/15/2021,"Integrity, 3.04",,,
706,2020-0221,Milwaukee Police Department,Closed,7/21/2020,8/17/2020,"Competence, 1.04",,,
707,2020-0222,Milwaukee Police Department,Closed,7/7/2020,5/27/2021,"Restraint, 6.01",,,
708,2020-0223,Milwaukee Police Department,Closed,7/24/2020,10/23/2020,"Respect, 5.01","Competence, 1.04",,
709,2020-0224,Milwaukee Police Department,Closed,7/27/2020,9/14/2020,"Competence, 1.04",,,
710,2020-0225,Milwaukee Police Department,Closed,7/29/2020,4/7/2021,"Integrity, 3.05",,,
711,2020-0226,Milwaukee Police Department,Closed,7/30/2020,4/8/2021,"Integrity, 3.04",,,
712,2020-0227,Milwaukee Police Department,Closed,7/26/2020,9/25/2020,"Respect, 5.00",,,
713,2020-0228,Milwaukee Police Department,Closed,7/27/2020,12/3/2020,"Integrity, 3.05",,,
714,2020-0229,Milwaukee Police Department,Closed,8/4/2020,8/11/2020,"Competence, 1.04",,,
715,2020-0230,Milwaukee Police Department,Closed,8/11/2020,12/2/2020,"Competence, 1.04","Integrity, 3.10",,
716,2020-0231,Milwaukee Police Department,Closed,7/31/2020,2/26/2021,"Respect, 5.01","Integrity, 3.03",Unjustified Search,
717,2020-0232,Milwaukee Police Department,Closed,8/17/2020,2/10/2021,"Integrity, 3.00",,,
718,2020-0233,Milwaukee Police Department,Closed,8/20/2020,8/10/2021,"Competence, 1.05",,,
719,2020-0234,Milwaukee Police Department,Closed,8/20/2020,3/19/2021,"Competence, 1.04",,,
720,2020-0235,Milwaukee Police Department,Closed,8/20/2020,10/19/2020,"Competence, 1.05",,,
721,2020-0236,Milwaukee Police Department,Closed,8/31/2020,10/27/2020,"Respect, 5.01",,,
722,2020-0237,Milwaukee Police Department,Closed,9/1/2020,10/28/2020,"Integrity, 3.11",,,
723,2020-0238,Milwaukee Police Department,Closed,9/1/2020,3/19/2021,"Competence, 1.05",,,
724,2020-0239,Milwaukee Police Department,Closed,9/1/2020,1/20/2021,"Integrity, 3.00",,,
725,2020-0240,Milwaukee Police Department,Closed,9/1/2020,2/11/2021,"Restraint, 6.00",,,
726,2020-0241,Milwaukee Police Department,Closed,9/2/2020,3/1/2021,"Integrity, 3.05",,,
727,2020-0242,Milwaukee Police Department,Closed,9/4/2020,10/27/2020,"Respect, 5.01",,,
728,2020-0243,Milwaukee Police Department,Closed,9/2/2020,1/28/2021,"Integrity, 3.03","Restraint, 6.01",Unjustified Search,Unjustified Traffic Stop
729,2020-0244,Milwaukee Police Department,Closed,9/9/2020,1/28/2021,"Restraint, 6.01","Competence, 1.04",,
730,2020-0245,Milwaukee Police Department,Closed,9/14/2020,10/26/2020,"Integrity, 3.00",,,
731,2020-0246,Milwaukee Police Department,Closed,9/14/2020,11/10/2020,"Competence, 1.04",,,
732,2020-0247,Milwaukee Police Department,Closed,9/15/2020,2/24/2021,"Competence, 1.05",,,
733,2020-0248,Milwaukee Police Department,Closed,9/15/2020,1/28/2021,"Respect, 5.00",,,
734,2020-0249,Milwaukee Police Department,Closed,9/15/2020,1/28/2021,"Competence, 1.04",,,
735,2020-0250,Milwaukee Police Department,Closed,9/15/2020,12/1/2020,"Integrity, 3.05",,,
736,2020-0251,Milwaukee Police Department,Closed,9/24/2020,1/28/2021,"Competence, 1.04",Unjustified Traffic Stop,,
737,2020-0252,Milwaukee Police Department,Closed,9/25/2020,1/28/2021,"Competence, 1.03",,,
738,2020-0253,Milwaukee Police Department,Closed,9/28/2020,1/28/2021,"Integrity, 3.06","Integrity, 3.01","Competence, 1.04",
739,2020-0254,Milwaukee Police Department,Closed,9/29/2020,5/6/2021,"Competence, 1.03",,,
740,2020-0255,Milwaukee Police Department,Closed,9/30/2020,1/19/2021,"Competence, 1.00",,,
741,2020-0256,Milwaukee Police Department,Closed,9/25/2020,4/19/2021,Discourtesy,Department Procedures,,
742,2020-0257,Milwaukee Police Department,Closed,9/30/2020,2/22/2021,Department Procedures,,,
2020 - Q4,,,,,,,,,
743,2020-0258,Milwaukee Police Department,Closed,10/2/2020,2/22/2021,Department Procedures,,,
744,2020-0259,Non Employee,Closed,10/15/2020,10/15/2020,No Allegation,,,
745,2020-0260,Milwaukee Police Department,Closed,10/15/2020,10/15/2020,Department Procedures,,,
746,2020-0261,Milwaukee Police Department,Closed,10/12/2020,11/13/2020,Department Services,,,
747,2020-0262,Milwaukee Police Department,Closed,10/6/2020,10/6/2020,No Allegation,,,
748,2020-0263,Milwaukee Police Department,Closed,10/20/2020,1/19/2021,Department Procedures,,,
749,2020-0264,Milwaukee Police Department,Closed,10/23/2020,1/20/2021,Department Procedures,,,
750,2020-0265,Milwaukee Police Department,Closed,11/2/2020,2/12/2021,Department Procedures,,,
751,2020-0266,Milwaukee Police Department,Closed,10/27/2020,11/18/2020,Department Procedures,,,
752,2020-0267,Milwaukee Police Department,Closed,11/2/2020,2/10/2021,Use of Force,,,
753,2020-0268,Milwaukee Police Department,Closed,11/2/2020,11/2/2020,Department Procedures,,,
754,2020-0269,Milwaukee Police Department,Closed,11/9/2020,11/9/2020,No Allegation,,,
755,2020-0270,Milwaukee Police Department,Closed,11/9/2020,11/10/2020,No Allegation,,,
756,2020-0271,Milwaukee Police Department,Closed,11/16/2020,11/18/2020,No Allegation,,,
757,2020-0272,Non Employee,Closed,12/7/2020,12/7/2020,No Allegation,,,
758,2020-0273,Non Employee,Closed,12/9/2020,12/9/2020,No Allegation,,,
759,2020-0274,Milwaukee Police Department,Closed,12/18/2020,12/18/2020,Department Procedures,,,
760,2020-0275,Milwaukee Police Department,Closed,10/2/2020,1/28/2021,"Respect, 5.02",,,
761,2020-0276,Milwaukee Police Department,Closed,10/2/2020,7/9/2021,"Competence, 1.05",,,
762,2020-0277,Milwaukee Police Department,Closed,10/5/2020,12/2/2021,"Integrity, 3.05 - FT State Battery DV","Integrity, 3.01 - Behavior that could discredit the dept","Integrity, 3.11 - Untruthfulness",
763,2020-0278,Milwaukee Police Department,Closed,10/5/2020,1/26/2021,"Integrity, 3.05",,,
764,2020-0279,Milwaukee Police Department,Closed,10/5/2020,3/1/2021,"Restraint, 6.01",,,
765,2020-0280,Milwaukee Police Department,Closed,10/7/2020,8/10/2022,"Integrity, 3.05 - FT State Duty Upon Striking","Competence, 1.05 - SOP Vehicle Crashes (x2)","Competence, 1.05 - SOP BWC","Integrity, 3.01 - Behavior that could discredit the dept"
766,2020-0281,Milwaukee Police Department,Closed,10/9/2020,4/7/2021,"Restraint, 6.01",,,
767,2020-0282,Milwaukee Police Department,Closed,10/13/2020,10/13/2020,"Competence, 1.04",,,
768,2020-0283,Milwaukee Police Department,Closed,10/16/2020,6/29/2021,"Restraint, 6.01",,,
769,2020-0284,Milwaukee Police Department,Closed,10/19/2020,1/21/2021,"Competence, 1.04",,,
770,2020-0285,Milwaukee Police Department,Closed,10/19/2020,1/29/2021,"Competence, 1.04",,,
771,2020-0286,Milwaukee Police Department,Closed,10/22/2020,1/29/2021,"Competence, 1.04",,,
772,2020-0287,Milwaukee Police Department,Closed,10/23/2020,2/18/2021,"Integrity, 3.03",,,
773,2020-0288,Milwaukee Police Department,Closed,10/26/2020,2/1/2021,"Competence, 1.04",,,
774,2020-0289,Milwaukee Police Department,Closed,10/24/2020,11/19/2020,"Restraint, 6.01",,,
775,2020-0290,Milwaukee Police Department,Closed,10/27/2020,2/16/2021,"Integrity, 3.00",Race Based Traffic Stop,,
776,2020-0291,Milwaukee Police Department,Closed,10/28/2020,1/21/2021,"Respect, 5.02",,,
777,2020-0292,Milwaukee Police Department,Closed,10/28/2020,11/9/2020,"Competence, 1.05",,,
778,2020-0293,Milwaukee Police Department,Closed,10/28/2020,12/4/2020,No Allegation,,,
779,2020-0294,Milwaukee Police Department,Closed,10/29/2020,1/22/2021,"Respect, 5.01","Competence, 1.05",,
780,2020-0295,Milwaukee Police Department,Closed,11/3/2020,6/25/2021,"Competence, 1.04",,,
781,2020-0296,Non Employee,Closed,11/3/2020,11/17/2020,No Allegation,,,
782,2020-0297,Non Employee,Closed,11/3/2020,11/10/2020,No Allegation,,,
783,2020-0298,Non Employee,Closed,11/3/2020,11/10/2020,No Allegation,,,
784,2020-0299,Milwaukee Police Department,Closed,11/3/2020,2/23/2021,"Competence, 1.04",,,
785,2020-0300,Milwaukee Police Department,Closed,11/3/2020,11/20/2020,"Integrity, 3.00",,,
786,2020-0301,Non Employee,Closed,11/3/2020,11/5/2020,No Allegation,,,
787,2020-0302,Non Employee,Closed,11/4/2020,11/5/2020,No Allegation,,,
788,2020-0303,Non Employee,Closed,11/4/2020,11/5/2020,No Allegation,,,
789,2020-0304,Milwaukee Police Department,Closed,11/4/2020,4/9/2021,"Restraint, 6.01",,,
790,2020-0305,Milwaukee Police Department,Closed,11/4/2020,11/6/2020,"Competence, 1.05",,,
791,2020-0306,Milwaukee Police Department,Closed,11/4/2020,12/1/2020,"Respect, 5.01",,,
792,2020-0307,Non Employee,Closed,11/4/2020,12/1/2020,No Allegation,,,
793,2020-0308,Non Employee,Closed,11/4/2020,12/2/2020,No Allegation,,,
794,2020-0309,Milwaukee Police Department,Closed,11/4/2020,12/1/2020,"Competence, 1.05",,,
795,2020-0310,Milwaukee Police Department,Closed,11/4/2020,12/1/2020,"Integrity, 3.00",,,
796,2020-0311,Milwaukee Police Department,Closed,11/5/2020,1/21/2021,"Restraint, 6.01",,,
797,2020-0312,Milwaukee Police Department,Closed,11/4/2020,5/7/2021,"Respect, 5.01",,,
798,2020-0313,Milwaukee Police Department,Closed,11/9/2020,1/20/2021,"Restraint, 6.01",,,
